Name,Q_P_C_Stare_rate,H_o_h_h_t_p,H_o_h_h_p_f_s,H_p_w_a,H_o_p_b_g_bed,H_o_p_b_bathing,H_o_p_breath,H_o_p_drugs_c,H_o_p_a_hosp,H_o_p_r_u_h_care_ER,C_s_i,H_o_p_r_action,P_r_e,A_l_Term,DTC_num,DTC_dem,DTC_Rate,DTC_Standard_Rate,DTC_Standard_Rate_limit_l,DTC_Standard_Rate_limit_u,PPR_num,PPR_dem,PPR_Rate,PPR_Standard_Rate,PPR_Standard_Rate_limit_l,PPR_Standard_Rate_limit_u,PPH_num,PPH_dem,PPH_Rate,PPH_Standard_Rate,PPH_Standard_Rate_limit_l,PPH_Standard_Rate_limit_u,medical_spends,Nr_of_episods
1,4.5,96.7,42.2,86.7,92.3,94.6,100.0,99.6,15.1,12.0,0.0,87.7,1.7,99.6,609.0,715.0,85.17,91.71,88.92,94.22,16.0,398.0,4.02,3.8,2.82,5.2,44.0,395.0,11.14,10.13,7.91,13.02,0.89,1057.0
2,2.0,96.5,44.6,72.3,72.6,72.3,55.4,62.7,16.8,13.2,0.0,95.1,0.0,98.6,155.0,239.0,64.85,71.28,65.16,77.45,3.0,112.0,2.68,3.85,2.6,5.9,10.0,107.0,9.35,9.55,5.94,14.64,1.14,294.0
3,3.0,87.1,66.5,82.7,85.7,82.1,85.5,83.4,20.1,9.1,0.4,97.8,1.3,98.7,292.0,360.0,81.11,84.64,80.64,88.52,12.0,186.0,6.45,4.64,3.31,6.56,23.0,210.0,10.95,11.75,8.27,16.41,0.91,419.0
4,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,1.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,1.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
5,2.5,98.8,73.6,52.0,73.0,62.6,58.3,58.2,7.4,14.1,0.5,96.4,1.2,100.0,216.0,296.0,72.97,80.93,75.09,85.77,11.0,197.0,5.58,4.14,3.04,5.69,8.0,121.0,6.61,7.09,4.75,10.43,0.9,458.0
6,3.0,94.0,42.5,86.7,86.3,87.1,82.4,82.3,15.6,9.7,0.0,95.7,1.5,97.9,555.0,720.0,77.08,86.26,82.7,89.53,14.0,318.0,4.4,3.81,2.79,5.14,34.0,348.0,9.77,8.79,6.62,11.54,0.97,1624.0
7,4.0,99.6,62.1,87.4,87.2,87.2,86.5,82.1,13.6,15.3,1.1,95.0,0.6,99.7,422.0,524.0,80.53,84.37,80.64,87.49,5.0,210.0,2.38,3.62,2.52,5.06,34.0,288.0,11.81,11.05,8.33,14.26,0.9,1077.0
8,4.0,99.8,62.7,88.6,90.3,89.8,89.0,85.7,14.3,12.8,0.0,98.1,2.1,97.0,272.0,372.0,73.12,79.97,75.27,84.51,7.0,170.0,4.12,3.93,2.92,5.61,28.0,229.0,12.23,10.32,7.83,13.88,0.96,663.0
9,4.0,99.6,64.2,89.5,88.9,88.9,90.0,85.6,15.0,12.7,0.5,98.7,0.4,100.0,458.0,546.0,83.88,88.48,84.94,91.42,5.0,253.0,1.98,3.52,2.48,4.96,37.0,289.0,12.8,12.52,9.42,16.4,0.98,890.0
10,4.5,99.9,71.3,89.3,92.7,88.9,95.6,86.9,16.8,10.3,0.3,98.5,0.6,97.6,582.0,813.0,71.59,78.21,74.65,81.37,11.0,414.0,2.66,3.52,2.56,4.89,53.0,418.0,12.68,10.94,8.62,13.48,1.02,1476.0
11,4.0,99.4,71.0,91.0,92.4,90.4,89.5,85.2,17.7,8.9,0.1,98.9,0.5,100.0,833.0,1050.0,79.33,83.78,81.17,86.04,17.0,497.0,3.42,3.85,2.83,5.15,71.0,553.0,12.84,12.26,9.79,14.9,0.97,1600.0
12,4.5,100.0,64.6,91.5,89.4,92.4,92.1,90.1,17.2,9.0,0.2,97.3,1.4,99.8,640.0,959.0,66.74,72.93,69.9,76.24,13.0,348.0,3.74,3.77,2.7,5.14,72.0,607.0,11.86,10.7,8.77,12.98,1.02,1899.0
13,3.5,99.5,73.9,85.6,87.9,87.3,84.2,83.1,13.4,11.8,0.0,98.7,0.9,99.4,760.0,997.0,76.23,80.73,77.76,83.26,20.0,408.0,4.9,4.44,3.26,6.05,55.0,479.0,11.48,10.86,8.64,13.45,0.96,2213.0
14,4.5,99.6,72.2,87.2,89.2,88.0,92.3,85.7,9.6,8.7,0.2,97.1,0.6,100.0,642.0,805.0,79.75,83.28,80.55,85.78,17.0,514.0,3.31,3.86,2.86,4.98,37.0,389.0,9.51,9.31,7.18,12.1,0.92,1146.0
15,4.0,99.9,66.1,89.9,89.4,91.8,91.7,84.6,17.7,11.5,0.2,99.6,1.0,99.8,465.0,568.0,81.87,89.06,85.68,91.84,12.0,292.0,4.11,3.9,2.88,5.28,31.0,299.0,10.37,10.12,7.59,13.21,1.0,801.0
16,3.5,100.0,66.7,86.4,82.5,90.1,83.6,86.8,17.0,10.1,0.9,97.5,0.7,100.0,254.0,342.0,74.27,77.17,72.14,81.48,1.0,108.0,0.93,3.56,2.47,5.1,26.0,220.0,11.82,12.3,8.99,16.43,1.03,768.0
17,2.0,97.3,72.1,70.1,66.5,74.6,66.8,62.3,13.655686274509806,11.769379084967321,0.7,96.0,0.0,100.0,17.0,33.0,51.52,60.7,44.14,76.26,6.790304810870364,6.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,7.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.94,97.0
18,4.0,99.9,91.3,84.8,85.9,86.2,88.5,79.8,13.6,13.3,0.0,98.0,1.6,100.0,721.0,844.0,85.43,85.96,83.48,88.19,10.0,363.0,2.75,3.94,2.81,5.34,42.0,471.0,8.92,10.45,7.93,13.32,1.01,1454.0
19,4.5,99.7,69.3,97.9,96.0,94.0,86.9,93.4,15.6,11.8,0.4,97.5,0.6,99.0,399.0,556.0,71.76,80.3,76.01,84.0,6.0,195.0,3.08,3.59,2.53,5.06,31.0,333.0,9.31,8.31,6.35,10.88,1.02,1002.0
20,4.0,99.7,67.7,91.4,86.7,91.7,85.3,84.7,14.0,9.9,0.1,98.2,0.5,99.8,385.0,509.0,75.64,82.2,77.73,85.62,5.0,222.0,2.25,3.46,2.42,4.71,30.0,272.0,11.03,9.78,7.25,12.88,1.03,790.0
21,4.0,99.4,69.3,90.3,86.2,89.0,94.6,85.2,15.2,7.5,0.2,98.6,0.4,99.8,331.0,484.0,68.39,74.57,70.22,79.06,6.0,216.0,2.78,3.55,2.5,4.97,31.0,246.0,12.6,10.84,8.07,14.33,1.08,872.0
22,4.0,98.0,77.6,89.6,87.4,89.8,90.3,87.4,16.3,10.9,0.1,97.7,0.5,99.5,773.0,1060.0,72.92,74.85,72.24,77.13,11.0,358.0,3.07,4.02,2.94,5.39,76.0,648.0,11.73,12.71,10.52,15.21,1.06,2174.0
23,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,2.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,1.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,1.0
24,5.0,99.6,94.3,96.4,94.9,96.9,95.4,99.0,14.9,9.6,0.0,99.6,1.3,100.0,272.0,419.0,64.92,74.01,68.88,78.5,8.0,184.0,4.35,3.99,2.9,5.56,47.0,359.0,13.09,9.81,7.88,12.25,1.05,929.0
25,4.0,100.0,62.4,90.2,93.3,93.0,89.9,86.2,19.6,13.3,0.0,98.0,0.6,100.0,248.0,333.0,74.47,81.68,76.46,86.15,1.0,128.0,0.78,3.34,2.36,4.69,29.0,210.0,13.81,10.87,8.08,14.2,0.99,689.0
26,4.5,99.4,57.1,92.0,89.8,91.9,90.1,90.3,11.3,13.7,0.1,98.1,1.3,98.3,243.0,336.0,72.32,79.09,73.55,83.78,5.0,124.0,4.03,3.92,2.69,5.47,18.0,156.0,11.54,10.29,7.34,14.44,0.96,660.0
